;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
91;LZ-01;10182;609;47537;1;RUN;241;2021-03-20 17:40:57;RUN;0 days 00:00:12
92;LZ-01;10182;609;47537;1;OGE04;0;2021-03-20 17:41:16;STOP;0 days 00:00:19
93;LZ-01;10182;613;48922;1;RUN;1385;2021-03-20 17:41:33;RUN;0 days 00:00:17
94;LZ-01;10182;613;48922;1;UVI01;0;2021-03-20 18:02:21;STOP;0 days 00:20:48
95;LZ-01;10182;976;76488;1;RUN;27566;2021-03-20 19:05:37;RUN;0 days 01:03:16
96;LZ-01;10182;976;76488;1;OGE04;0;2021-03-20 19:06:22;STOP;0 days 00:00:45
97;LZ-01;10182;1098;87883;1;RUN;11395;2021-03-20 19:27:56;RUN;0 days 00:21:34
98;LZ-01;10182;1098;87883;1;OGE02;0;2021-03-20 19:37:44;STOP;0 days 00:09:48
99;LZ-01;10182;0;0;2;RUN;0;2021-03-20 19:47:40;RUN;0 days 00:09:56
100;LZ-01;10182;0;0;2;OGE03;0;2021-03-20 19:47:57;STOP;0 days 00:00:17
101;LZ-01;10182;0;0;2;PGE01;0;2021-03-20 20:09:54;STOP;0 days 00:21:57
102;LZ-01;10182;408;30662;2;RUN;30662;2021-03-20 21:20:42;RUN;0 days 01:10:48
103;LZ-01;10182;408;30662;2;OGE04;0;2021-03-20 21:21:46;STOP;0 days 00:01:04
104;LZ-01;10182;727;56471;2;RUN;25809;2021-03-20 22:17:31;RUN;0 days 00:55:45
105;LZ-01;10182;727;56471;2;OGE04;0;2021-03-20 22:17:56;STOP;0 days 00:00:25
106;LZ-01;10182;923;72757;2;RUN;16286;2021-03-20 22:52:13;RUN;0 days 00:34:17
107;LZ-01;10182;923;72757;2;OGE04;0;2021-03-20 22:56:37;STOP;0 days 00:04:24
108;LZ-01;10182;923;72836;2;RUN;79;2021-03-20 22:56:53;RUN;0 days 00:00:16
109;LZ-01;10182;923;72836;2;OGE04;0;2021-03-20 22:57:10;STOP;0 days 00:00:17
110;LZ-01;10182;1010;79027;2;RUN;6191;2021-03-20 23:11:40;RUN;0 days 00:14:30
111;LZ-01;10182;1010;79027;2;OGE04;0;2021-03-20 23:12:13;STOP;0 days 00:00:33
112;LZ-01;10182;1040;81192;2;RUN;2165;2021-03-20 23:17:26;RUN;0 days 00:05:13
113;LZ-01;10182;1040;81192;2;OGE04;0;2021-03-20 23:18:38;STOP;0 days 00:01:12
114;LZ-01;10182;1106;86432;2;RUN;5240;2021-03-20 23:30:11;RUN;0 days 00:11:33
115;LZ-01;10182;1106;86432;2;OGE04;0;2021-03-20 23:31:27;STOP;0 days 00:01:16
116;LZ-01;10182;1360;108575;2;RUN;22143;2021-03-21 00:15:39;RUN;0 days 00:44:12
117;LZ-01;10182;1360;108575;2;OPS04;0;2021-03-21 00:33:07;STOP;0 days 00:17:28
118;LZ-01;10182;1553;124217;2;RUN;15642;2021-03-21 01:07:14;RUN;0 days 00:34:07
119;LZ-01;10182;1553;124217;2;OPS10;0;2021-03-21 01:14:52;STOP;0 days 00:07:38
120;LZ-01;10182;1553;124217;2;RUN;0;2021-03-21 01:14:57;RUN;0 days 00:00:05
